product_name,product_series
AF80-30-00-41 24-60V50/60HZ,1SBL397001R4100
AF65-30-00-41 24-60V50/60HZ ,1SBL387001R4100
AF65-30-00-11 24-60V50/60HZ,1SBL387001R1100
AF52-30-00-41 24-60V50/60HZ,1SBL367001R4100
SOR T7-T7M-X1 220...240Va.c./d.c.,1SDA063548R1
T7S 1600 PR231/P LS/I In=1600A 4p F F,1SDA063002R1
T7S 1250 PR231/P LS/I In=1250A 4p F F M,1SDA062890R1
T7S 1000 PR231/P LS/I In=1000A 4p F F,1SDA062746R1
KIT MP T7-T7M-X1 W 4p,1SDA062163R1
TF96-68,1SAZ911201R1003
TF65-67,1SAZ811201R1007
TF65-60,1SAZ811201R1006
TF65-53,1SAZ811201R1005
TF65-40,1SAZ811201R1003
OT400E04P,1SCA022719R1810
OT250E04P,1SCA022710R0520
CAL19-11,1SFN010820R1011
BEA38-4,1SBN082306T2000
BEA26-4,1SBN082306T1000
A2B 250 TMF 160-1600 4p F F,1SDA066555R1
A1A 125 TMF 125-1250 4p F F,1SDA066535R1
A1A 125 TMF 63-630 4p F F,1SDA068772R1
A1A 125 TMF 100-1000 4p F F,1SDA066534R1
A1A 125 TMF 80-800 4p F F,1SDA066532R1
AF52-30-11-11,1SBL367001R1111
AF40-40-00-13,1SBL347201R1300
AF40-30-00-13,1SBL347001R1300
AF38-40-00-13,1SBL297201R1300
AF38-30-00-14,1SBL297001R1400
AF38-30-00-13,1SBL297001R1300
OTM400E4CM230C,1SCA022847R3250
OTM250E4CM230C,1SCA022846R1910
AF40-30-00-14-500V50/60HZ-DC,1SBL347001R1400
AF30-30-00-41 24-60V50/60HZ ,1SBL277001R4100
AF26-30-00-41 24-60V50/60HZ,1SBL237001R4100
AF16-30-10-41 24-60V50/60HZ ,1SBL177001R4110
PLATE MECH.INTER. T7-T7M-X1 WITH. FP,1SDA062131R1
PLATE MECH.INTER. T7-T7M-X1 WALL FIXED,1SDA062129R1
KIT CABLE MECH.INTER.HR/VR T7-T7M-X1>2CB,1SDA062127R1
GEAR.MOTOR DEVICE T7M-X1 220...250Vac/dc,1SDA062116R1
AUX-SC T7M-X1 250Vac/dc SPRINGS CHARGED,1SDA062107R1
T6N 1000 PR221DS-LS/I In=1000 4p F F,1SDA060542R1
FLD T6 W,1SDA060418R1
TF42-38,1SAZ721201R1055
TF42-35,1SAZ721201R1053
TF42-29,1SAZ721201R1052
TF42-24,1SAZ721201R1051
TF42-20,1SAZ721201R1049
TF42-13,1SAZ721201R1045
BEA16-4,1SBN081306T1000
VM96-4,1SBN033405T1000
VEM4,1SBN030111R1000
TEF4-OFF,1SBN020114R1000
TEF4-ON,1SBN020112R1000
CA4-22M,1SBN010140R1122
AF38-30-00-11,1SBL297001R1100
AF30-30-00-14,1SBL277001R1400
AF30-30-00-13,1SBL277001R1300
AF30-30-00-11,1SBL277001R1100
AF26-40-00-13,1SBL237201R1300
AF26-30-00-14,1SBL237001R1400
AF26-30-00-13,1SBL237001R1300
AF12-30-10-41 24-60V50/60HZ ,1SBL157001R4110
AF09-30-10-41 24-60V50/60HZ ,1SBL137001R4110
VM205/265,1SFN035203R1000
VM140/190,1SFN034403R1000
VM19,1SFN030300R1000
MOE T6 220...250 Vac/dc,1SDA060398R1
KIT MP T6 630/800 W 4p,1SDA060391R1
T6N 800 PR221DS-LS/I In=800 4p F F,1SDA060273R1
T6N 630 PR221DS-LS/I In=630 4p F F,1SDA060231R1
RC222/5 T5 4p F,1SDA054955R1
MIR-HB T4-T5,1SDA054946R1
TF42-10,1SAZ721201R1043
TF42-7.6,1SAZ721201R1040
TF42-5.7,1SAZ721201R1038
TF42-4.2,1SAZ721201R1035
TF42-3.1,1SAZ721201R1033
TF42-2.3,1SAZ721201R1031
CA4-40E,1SBN010140R1040
CA4-22E,1SBN010140R1022
CA4-10,1SBN010110R1010
CA4-01,1SBN010110R1001
UVR T7-T7M-X1 220...240Va.c./d.c.,1SDA063552R1
SCR T7M-X1 220...240Va.c./d.c.,1SDA063550R1
SOR T7-T7M-X1 220...240Va.c./d.c.,1SDA063548R1
E4.2N 4000 Ekip Dip LI 4p WMP,1SDA073171R1
E4.2N 3200 Ekip Dip LSI 4p WMP,1SDA073122R1
E2.2N 2500 Ekip Dip LI 4p WMP,1SDA073041R1
E2.2B 2000 Ekip Dip LI 4p WMP,1SDA073001R1
XT4N 250 TMA 250-2500 4p F F InN=100%,1SDA068111R1
XT1B 160 TMD 160 4p FF InN=50%,1SDA066820R1
XT1B 160 TMD 160-1600 3p F F,1SDA066809R1
S204 C20,2CDS254001R0204
CM-ENS.13S,1SVR730850R2100
CM-PSS.31S,1SVR730784R2300
CT-ERS.22S,1SVR730100R3300
S2C-S/H6R,2CDS200922R0001
S2C-H6-11R,2CDS200946R0001
S2C-H6R,2CDS200912R0001
Coffret BL.Porte   Plaque   800X600X300mm (HxWxD),SRN8630K
Coffret BL.Porte   Plaque   800X600X250mm (HxWxD),SRN8625K
Coffret BL.Porte   Plaque   700X500X250mm (HxWxD),SRN7525K
Coffret BL.Porte   Plaque   600X400X250mm (HxWxD),SRN6425K
AF26-30-00-11,1SBL237001R1100
AF16-40-00-13,1SBL177201R1300
AF16-30-10-14,1SBL177001R1410
AF16-30-10-13,1SBL177001R1310
AF16-30-10-11,1SBL177001R1110
AF12-30-10-14,1SBL157001R1410
CAL19-11,1SFN010820R1011
AF370-40-11-13,1SFL607102R1311
AF305-40-11-13,1SFL587102R1311
AF265-40-11-13,1SFL547102R1311
AF265-30-11-13,1SFL547002R1311
FLD T4-T5 W,1SDA054945R1
MOE T4-T5 220...250 Vac/dc,1SDA054897R1
UVR-C T4-T5-T6 220...250 Vac/dc,1SDA054891R1
SOR T4-T5-T6 220..240 Vac - 220..250 Vdc,1SDA054866R1
T5N 400 TMA 400-4000 4p F F,1SDA054439R1
TF42-1.7,1SAZ721201R1028
TF42-1.3,1SAZ721201R1025
KIT MP T7-T7M-X1 W 4p,1SDA062163R1
PLATE MECH.INTER. T7-T7M-X1 WITH. FP,1SDA062131R1
PLATE MECH.INTER. T7-T7M-X1 WALL FIXED,1SDA062129R1
KIT CABLE MECH.INTER.HR/VR T7-T7M-X1>2CB,1SDA062127R1
GEAR.MOTOR DEVICE T7M-X1 220...250Vac/dc,1SDA062116R1
E2.2N 2500 Ekip Dip LSI 4p F HR,1SDA071692R1
E2.2B 2000 Ekip Dip LSI 4p F HR,1SDA071652R1
XT1B 160 TMD 125-1250 3p F F,1SDA066808R1
XT1B 160 TMD 100-1000 3p F F,1SDA066807R1
XT1B 160 TMD 80-800 3p F F,1SDA066806R1 
XT3N 250 TMD 250-2500 4p F F InN=50%,1SDA068066R1
XT3N 250 TMD 200-2000 4p F F InN=50%,1SDA068065R1
XT1N 160 TMD 160-1600 4p F F InN=50%,1SDA067426R1
S202 C10,2CDS252001R0104
S203 L C10,2CDS243701R0104
S203 D40,2CDS253001R0401
S203 D20,2CDS253001R0201
S203 D50,2CDS253001R0501
S203 D32,2CDS253001R0321
CP-T 48/20.0,1SVR427056R2000
CP-E 24/20.0,1SVR427036R0000
CP-E 48/10.0,1SVR427035R2000
CP-E 24/10.0,1SVR427035R0000
CP-E 48/5.0,1SVR427034R2000
CP-E 24/5.0,1SVR427034R0000
"DDA204 AC-63/0,3",2CSB204001R3630
"DDA204 AC-40/0,3",2CSB204001R3400
"DDA204 AC-25/0,3",2CSB204001R3250
"DDA204 AC-63/0,03",2CSB204001R1630
"DDA202 AC-63/0,3",2CSB202001R3630
"DDA202 AC-25/0,03",2CSB202001R1250
"DDA202 AC-40/0,3",2CSB202001R3400
Coffret BL.Porte   Plaque   500X400X250mm (HxWxD),SRN5425K
Coffret BL.Porte   Plaque   500X300X200mm (HxWxD),SRN5320K
Coffret BL.Porte   Plaque   400X300X200mm (HxWxD),SRN4320K
Coffret BL.Porte   Plaque   1200X800X300mm (HxWxD),SRN12830K
Coffret BL.Porte   Plaque   1200X600X300mm (HxWxD),SRN12630K
Coffret BL.Porte   Plaque   1000X800X300mm (HxWxD),SRN10830K
AF12-30-10-13,1SBL157001R1310
AF12-30-10-11,1SBL157001R1110
AF09-40-00-13,1SBL137201R1300
AF09-30-10-14,1SBL137001R1410
AF09-30-10-13,1SBL137001R1310
AF09-30-10-11,1SBL137001R1110
F205-40-11-13,1SFL527102R1311
AF190-40-11-13,1SFL487102R1311
AF190-30-11-14,1SFL487002R1411
